Name,Type,Adr [Hex],Size [B],Region
ucHeap,OBJECT,0x200009C8,34816.0,DSRAM 1 (system)
ETH_0_rx_buf,OBJECT,0x300017D0,6096.0,DSRAM 2 (comm)
ETH_0_tx_buf,OBJECT,0x30000000,6096.0,DSRAM 2 (comm)
xProcessReceivedTCPPacket,FUNC,0x0800792D,2588.0,FLASH 1 (cached)
xNetworkBufferDescriptors,OBJECT,0x2000931C,2160.0,DSRAM 1 (system)
prvIPTask,FUNC,0x0800529D,1168.0,FLASH 1 (cached)
UART_isr_entry,FUNC,0x08009989,772.0,FLASH 1 (cached)
prvTCPPrepareSend,FUNC,0x080072A1,768.0,FLASH 1 (cached)
SystemInit,FUNC,0x080009DD,760.0,FLASH 1 (cached)
SPI_Master_init,FUNC,0x08009CD5,748.0,FLASH 1 (cached)
CAN_node_init,FUNC,0x0800AD05,728.0,FLASH 1 (cached)
SPI_isr_entry,FUNC,0x0800A241,722.0,FLASH 1 (cached)
xTCPSocketCheck,FUNC,0x080075CD,672.0,FLASH 1 (cached)
FreeRTOS_setsockopt,FUNC,0x08005D85,632.0,FLASH 1 (cached)
_printf_i,FUNC,0x0800BE55,564.0,FLASH 1 (cached)
prvTimerTask,FUNC,0x08003C2D,536.0,FLASH 1 (cached)
logger,OBJECT,0x20009C34,528.0,DSRAM 1 (system)
__Xmc4500_interrupt_vecto,OBJECT,0x08000000,512.0,FLASH 1 (cached)
UART_init,FUNC,0x0800954D,512.0,FLASH 1 (cached)
xTaskCreate,FUNC,0x08002D55,504.0,FLASH 1 (cached)
prvTCPReturnPacket.constp,FUNC,0x08006EB9,500.0,FLASH 1 (cached)
_svfprintf_r,FUNC,0x0800BB85,484.0,FLASH 1 (cached)
_svfiprintf_r,FUNC,0x0800BB85,484.0,FLASH 1 (cached)
prvProcessDHCPReplies,FUNC,0x080047B5,476.0,FLASH 1 (cached)
FreeRTOS_send,FUNC,0x08006479,470.0,FLASH 1 (cached)
vTCPStateChange,FUNC,0x080070CD,466.0,FLASH 1 (cached)
vDHCPProcess,FUNC,0x08004B39,460.0,FLASH 1 (cached)
FreeRTOS_recv,FUNC,0x080062D5,418.0,FLASH 1 (cached)
xQueueSemaphoreTake,FUNC,0x08002915,416.0,FLASH 1 (cached)
_ZL12sg_gpio_pins,OBJECT,0x0800C704,400.0,FLASH 1 (cached)
xQueueGenericSend,FUNC,0x08002491,400.0,FLASH 1 (cached)
CCU8_compare_channel_init,FUNC,0x0800A9AD,380.0,FLASH 1 (cached)
vSocketSelect,FUNC,0x08006A85,376.0,FLASH 1 (cached)
FreeRTOS_IPInit,FUNC,0x08004E2D,372.0,FLASH 1 (cached)
CCU4_compare_channel_init,FUNC,0x0800A699,372.0,FLASH 1 (cached)
xTaskResumeAll,FUNC,0x08003239,372.0,FLASH 1 (cached)
lTCPWindowRxCheck,FUNC,0x08008739,364.0,FLASH 1 (cached)
CCU4_capture_channel_init,FUNC,0x0800A80D,360.0,FLASH 1 (cached)
vARPRefreshCacheEntry,FUNC,0x080043E9,360.0,FLASH 1 (cached)
VADC_background_request_i,FUNC,0x08009319,352.0,FLASH 1 (cached)
xQueueReceive,FUNC,0x080027B5,352.0,FLASH 1 (cached)
xNetworkInterfaceInitiali,FUNC,0x08008E3D,348.0,FLASH 1 (cached)
vTCPNetStat,FUNC,0x0800692D,344.0,FLASH 1 (cached)
xTaskIncrementTick,FUNC,0x080030E9,336.0,FLASH 1 (cached)
FreeRTOS_socket,FUNC,0x08005811,332.0,FLASH 1 (cached)
pvPortMalloc,FUNC,0x08004229,324.0,FLASH 1 (cached)
ulTCPWindowTxGet,FUNC,0x080089F5,282.0,FLASH 1 (cached)
xPortStartScheduler,FUNC,0x08004069,276.0,FLASH 1 (cached)
prvEMACHandlerTask,FUNC,0x08008D2D,272.0,FLASH 1 (cached)
xEventGroupWaitBits,FUNC,0x08001F75,272.0,FLASH 1 (cached)
FreeRTOS_recvfrom,FUNC,0x0800595D,266.0,FLASH 1 (cached)
init_user_before_main,FUNC,0x0800B809,264.0,FLASH 1 (cached)
prvTCPWindowTxCheckAck,FUNC,0x08008439,260.0,FLASH 1 (cached)
lTCPAddRxdata,FUNC,0x080067FD,260.0,FLASH 1 (cached)
vTaskDelete,FUNC,0x08002F4D,256.0,FLASH 1 (cached)
vSocketBind,FUNC,0x08005BA9,256.0,FLASH 1 (cached)
usGenerateChecksum,FUNC,0x0800507D,256.0,FLASH 1 (cached)
FreeRTOS_accept,FUNC,0x080061DD,246.0,FLASH 1 (cached)
usGenerateProtocolChecksu,FUNC,0x0800517D,244.0,FLASH 1 (cached)
UART_abort,FUNC,0x08009895,242.0,FLASH 1 (cached)
_ZN12ClientTask__11client,FUNC,0x0800B1C1,236.0,FLASH 1 (cached)
XMC_VADC_GLOBAL_Backgroun,FUNC,0x08001DB9,236.0,FLASH 1 (cached)
_printf_common,FUNC,0x0800BD69,234.0,FLASH 1 (cached)
FreeRTOS_connect,FUNC,0x080060F5,232.0,FLASH 1 (cached)
vProcessGeneratedUDPPacke,FUNC,0x08008BA1,232.0,FLASH 1 (cached)
XMC_VADC_GROUP_Init,FUNC,0x08001CC5,228.0,FLASH 1 (cached)
lTCPWindowTxAdd,FUNC,0x080088A5,228.0,FLASH 1 (cached)
FreeRTOS_sendto,FUNC,0x08005AC9,222.0,FLASH 1 (cached)
_ZN8LedTask_11xvTaskEntry,FUNC,0x0800B335,220.0,FLASH 1 (cached)
_ZN12ServerTask__19server,FUNC,0x0800B585,220.0,FLASH 1 (cached)
__Xmc4500_Program_Loader,FUNC,0x0800021D,212.0,FLASH 1 (cached)
uxStreamBufferAdd,FUNC,0x08006C31,208.0,FLASH 1 (cached)
eARPProcessPacket,FUNC,0x08004551,204.0,FLASH 1 (cached)
pxReadyTasksLists,OBJECT,0x2000083C,200.0,DSRAM 1 (system)
_ZL16sg_eth_gpio_pins,OBJECT,0x0800C63C,200.0,FLASH 1 (cached)
SPI_Master_receive,FUNC,0x0800A175,200.0,FLASH 1 (cached)
vTCPWindowCreate,FUNC,0x08008671,200.0,FLASH 1 (cached)
xQueueGenericSendFromISR,FUNC,0x08002645,194.0,FLASH 1 (cached)
_ZN12ServerTask__11server,FUNC,0x0800B4C5,192.0,FLASH 1 (cached)
prvTCPHandleFin.isra.4,FUNC,0x0800786D,190.0,FLASH 1 (cached)
main,FUNC,0x0800B6B9,188.0,FLASH 1 (cached)
xNetworkInterfaceOutput,FUNC,0x08008F99,188.0,FLASH 1 (cached)
xTaskPriorityDisinherit,FUNC,0x080038B5,180.0,FLASH 1 (cached)
vTaskPriorityDisinheritAf,FUNC,0x08003969,180.0,FLASH 1 (cached)
__ssputs_r,FUNC,0x0800BAD1,178.0,FLASH 1 (cached)
_malloc_r,FUNC,0x0800C131,172.0,FLASH 1 (cached)
xQueueGiveFromISR,FUNC,0x08002709,172.0,FLASH 1 (cached)
prvTCPNextTimeout,FUNC,0x08006E11,168.0,FLASH 1 (cached)
vSocketClose,FUNC,0x08005CDD,168.0,FLASH 1 (cached)
pxGetNetworkBufferWithDes,FUNC,0x08009259,168.0,FLASH 1 (cached)
_ZN11GPIO_Pins__4initEv,FUNC,0x0800A5A5,164.0,FLASH 1 (cached)
xProcessReceivedUDPPacket,FUNC,0x08008C89,162.0,FLASH 1 (cached)
prvCreatePartDHCPMessage.,FUNC,0x080049F9,160.0,FLASH 1 (cached)
XMC_CAN_NODE_NominalBitTi,FUNC,0x08000DF5,160.0,FLASH 1 (cached)
xQueueReceiveFromISR,FUNC,0x08002AB5,160.0,FLASH 1 (cached)
vTaskDelayUntil,FUNC,0x080033AD,156.0,FLASH 1 (cached)
prvUnlockQueue,FUNC,0x080022E5,152.0,FLASH 1 (cached)
FreeRTOS_inet_addr,FUNC,0x08006025,152.0,FLASH 1 (cached)
xTaskCheckForTimeOut,FUNC,0x0800374D,152.0,FLASH 1 (cached)
xTaskPriorityInherit,FUNC,0x0800381D,152.0,FLASH 1 (cached)
XMC_ETH_MAC_SetManagmentC,FUNC,0x08001531,148.0,FLASH 1 (cached)
xEventGroupSetBits,FUNC,0x080020CD,148.0,FLASH 1 (cached)
prvAddCurrentTaskToDelaye,FUNC,0x08002CC5,144.0,FLASH 1 (cached)
initialize_ethernet_mac,FUNC,0x08009055,144.0,FLASH 1 (cached)
eARPGetCacheEntry,FUNC,0x0800461D,144.0,FLASH 1 (cached)
SPI_Master_transmit,FUNC,0x0800A0E5,144.0,FLASH 1 (cached)
XMC_CAN_MO_Config,FUNC,0x08000F29,144.0,FLASH 1 (cached)
xQueueGenericReset,FUNC,0x0800237D,144.0,FLASH 1 (cached)
XMC_ETH_PHY_Init,FUNC,0x08001779,144.0,FLASH 1 (cached)
FreeRTOS_listen,FUNC,0x08006651,142.0,FLASH 1 (cached)
prvSwitchTimerLists,FUNC,0x08003BA1,140.0,FLASH 1 (cached)
vTaskRemoveFromUnorderedE,FUNC,0x08003671,140.0,FLASH 1 (cached)
XMC_GPIO_Init,FUNC,0x08000CD5,140.0,FLASH 1 (cached)
xTCPTimerCheck,FUNC,0x08006729,140.0,FLASH 1 (cached)
xTaskRemoveFromEventList,FUNC,0x080035E9,136.0,FLASH 1 (cached)
_free_r,FUNC,0x0800C0A9,136.0,FLASH 1 (cached)
vTaskSwitchContext,FUNC,0x08003495,136.0,FLASH 1 (cached)
uxStreamBufferGet,FUNC,0x08006D01,134.0,FLASH 1 (cached)
xTCPWindowNew,FUNC,0x0800853D,132.0,FLASH 1 (cached)
XMC_USIC_CH_SetBaudrate,FUNC,0x08001AE1,132.0,FLASH 1 (cached)
SystemCoreClockUpdate,FUNC,0x08000959,132.0,FLASH 1 (cached)
ETH_0_rx_desc,OBJECT,0x30003020,128.0,DSRAM 2 (comm)
ETH_0_tx_desc,OBJECT,0x30002FA0,128.0,DSRAM 2 (comm)
VADC_Group0_Channel_Confi,OBJECT,0x20009F8C,128.0,DSRAM 1 (system)
vTaskStartScheduler,FUNC,0x0800304D,128.0,FLASH 1 (cached)
vPortFree,FUNC,0x0800436D,124.0,FLASH 1 (cached)
ulTCPWindowTxSack,FUNC,0x08008B25,124.0,FLASH 1 (cached)
UART_receive,FUNC,0x0800981D,120.0,FLASH 1 (cached)
xNetworkBuffersInitialise,FUNC,0x08009189,120.0,FLASH 1 (cached)
XMC_CCU8_SLICE_ConfigureE,FUNC,0x08001319,118.0,FLASH 1 (cached)
XMC_CCU4_SLICE_ConfigureE,FUNC,0x080011AD,118.0,FLASH 1 (cached)
prvCopyDataToQueue,FUNC,0x08002249,116.0,FLASH 1 (cached)
XMC_ETH_MAC_InitEx,FUNC,0x08001491,116.0,FLASH 1 (cached)
